,time,n-xpos,n-ypos,t-xpos,t-ypos,c-xpos,c-ypos,c-xvel,c-yvel,c-xacc,c-yacc,c-speed,c-scacc,a-pos,a-vel,time-aligned
172,4.752508361,-0.002063803,0.483025439,-0.006825403,0.393948269,-0.004444603,0.438486854,-0.002755657,-0.000428288,0.27229198,-0.283418121,0.002788741,0.393025131,86.94017882,-0.324502405,4.531400160999997
173,4.785953177,-0.001817414,0.482592808,-0.006002805,0.392981029,-0.003910109,0.437786919,0.016018795,-0.02097708,0.562670892,-0.615847913,0.026393933,0.834186541,87.32589743,11.55999848,4.564844976999996
174,4.819397993,-0.001437761,0.481828749,-0.004755001,0.391574066,-0.003096381,0.436701408,0.024387454,-0.032532802,0.250808935,-0.346325342,0.040658715,0.427605384,87.89508584,17.05859377,4.598289792999997
175,4.852842809,-0.001415373,0.481230546,-0.00398961,0.390910541,-0.002702492,0.436070544,0.01180488,-0.018907012,-0.377100111,0.408365323,0.022289691,0.555847759,88.36743768,14.15639855,4.631734608999997
176,4.886287625,-0.002042266,0.480921243,-0.003859566,0.391783893,-0.002950916,0.436352568,-0.007445279,0.008452284,-0.576927848,0.819958942,0.011263805,1.002585861,88.83203624,13.92403296,4.665179424999996
177,4.919732441,-0.002979151,0.480787149,-0.003946733,0.393412925,-0.003462942,0.437100037,-0.015345428,0.022401671,-0.236767698,0.418063533,0.027153582,0.480454015,89.36553262,15.98890255,4.6986242409999965
178,4.953177258,-0.003539037,0.480962544,-0.004400758,0.394066327,-0.003969898,0.437514435,-0.015193488,0.01241953,0.004553664,-0.299165067,0.019623628,0.299199722,89.43183531,1.987093563,4.732069057999997
179,4.986622074,-0.003419064,0.481691763,-0.005750311,0.392901592,-0.004584688,0.437296678,-0.01842528,-0.006526206,-0.096856914,-0.567804284,0.019546926,0.576006047,88.49600556,-28.04684573,4.765513873999996
180,5.02006689,-0.002932289,0.482814568,-0.007486475,0.390712497,-0.005209382,0.436763532,-0.018722108,-0.015978384,-0.008895937,-0.283282032,0.024613534,0.283421677,87.16919214,-39.76463785,4.7989586899999965
181,5.053511706,-0.002570795,0.483699269,-0.008113158,0.388848408,-0.005341977,0.436273838,-0.003973864,-0.014676142,0.442005305,0.039028224,0.015204629,0.443725018,86.65587254,-15.38420375,4.832403505999997
182,5.086956522,-0.002610031,0.48367461,-0.006982777,0.387854631,-0.004796404,0.43576462,0.016350839,-0.015261281,0.609131958,-0.017536633,0.022366417,0.609384341,87.38711933,21.91548796,4.865848321999997
183,5.120401338,-0.002991536,0.482721721,-0.004881152,0.387179094,-0.003936344,0.434950407,0.025776017,-0.024401993,0.282472881,-0.273947408,0.035494511,0.39349474,88.86696747,44.35109331,4.899293137999996
184,5.153846154,-0.003240814,0.482027484,-0.00244921,0.385821913,-0.002845012,0.433924699,0.032707249,-0.030740515,0.207729222,-0.189965711,0.044885893,0.281493163,-89.52856655,-5346.519501,4.932737953999997
